,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_gamma,params_learning_rate,params_net_arch,params_noise_std,params_noise_type,params_tau,params_train_freq,state
57,57,222.78214703439997,2022-01-31 09:10:52.776839,2022-01-31 10:07:34.798249,0 days 00:56:42.021410,128,1000000,0.995,0.00012786837939701018,big,0.6759285661007277,,0.05,512,PRUNED
58,58,322.3393582477,2022-01-31 09:49:26.630056,2022-01-31 10:59:07.608660,0 days 01:09:40.978604,16,1000000,0.995,0.0014140063176686396,medium,0.682634160852536,,0.05,8,PRUNED
59,59,356.96742466660004,2022-01-31 10:07:34.805218,2022-01-31 13:13:04.919193,0 days 03:05:30.113975,16,1000000,0.98,0.0030091650452106706,medium,0.46137010922532673,,0.02,8,COMPLETE
60,60,326.90868722859994,2022-01-31 10:59:07.609634,2022-01-31 12:42:01.635482,0 days 01:42:54.025848,128,1000000,0.98,0.009837446493901785,big,0.4536479432703482,,0.02,32,PRUNED
61,61,417.86263853820003,2022-01-31 12:42:01.636436,2022-01-31 17:36:45.369163,0 days 04:54:43.732727,512,1000000,0.995,0.004076591096802242,big,0.7498316167599539,,0.02,32,COMPLETE
62,62,390.0506067035,2022-01-31 13:13:04.920598,2022-01-31 16:21:44.672344,0 days 03:08:39.751746,100,1000000,0.995,0.0013032559778946057,big,0.5711713863726847,,0.02,1,COMPLETE
63,63,208.78595962749998,2022-01-31 16:21:44.673622,2022-01-31 17:18:52.681378,0 days 00:57:08.007756,100,1000000,0.995,0.0032578251730614577,big,0.3766423332354004,,0.02,1,PRUNED
64,64,349.1093166174,2022-01-31 17:18:52.682427,2022-01-31 21:27:50.917559,0 days 04:08:58.235132,512,1000000,0.995,0.00039901842388842236,big,0.5205311273364023,,0.02,32,COMPLETE
65,65,322.8084081264,2022-01-31 17:36:45.370556,2022-01-31 18:51:22.054086,0 days 01:14:36.683530,512,1000000,0.995,0.00601359265101733,big,0.7445444942037602,,0.02,32,PRUNED
66,66,222.5654862732,2022-01-31 18:51:22.055325,2022-01-31 20:06:00.653685,0 days 01:14:38.598360,512,1000000,0.995,0.08664090381589269,big,0.8560642154866264,,0.08,32,PRUNED
67,67,364.3329374445,2022-01-31 20:06:00.654632,2022-02-01 00:20:28.784484,0 days 04:14:28.129852,512,1000000,0.995,0.00035907062376721444,big,0.6138550425859282,,0.02,32,COMPLETE
68,68,353.5016187898,2022-01-31 21:27:50.919066,2022-02-01 01:01:24.690162,0 days 03:33:33.771096,256,1000000,0.9,0.00019676482929303945,big,0.7625883088591856,,0.02,512,COMPLETE
69,69,340.8634632785,2022-02-01 00:20:28.788983,2022-02-01 03:38:35.683848,0 days 03:18:06.894865,256,1000000,0.9,0.0002261104713190732,big,0.8009922295366051,,0.001,512,COMPLETE
70,70,354.78557199610003,2022-02-01 01:01:24.694835,2022-02-01 06:59:19.990158,0 days 05:57:55.295323,2048,10000,0.995,0.000638369907199003,big,0.6623674867671234,,0.001,256,COMPLETE
71,71,320.3182170794,2022-02-01 03:38:35.685347,2022-02-01 08:30:48.087979,0 days 04:52:12.402632,2048,10000,0.995,0.0006384632356579479,medium,0.5793975656171336,,0.02,16,COMPLETE
72,72,415.3891378976,2022-02-01 06:59:19.992869,2022-02-01 10:25:29.945812,0 days 03:26:09.952943,128,1000000,0.995,0.002512498747885456,big,0.49758894720248137,,0.02,16,COMPLETE
73,73,322.7875184487,2022-02-01 08:30:48.089944,2022-02-01 09:30:05.276884,0 days 00:59:17.186940,128,1000000,0.995,0.0022477643224154587,big,0.48601691883420783,,0.02,1,PRUNED
74,74,406.3889600856,2022-02-01 09:30:05.277876,2022-02-01 12:50:24.169476,0 days 03:20:18.891600,128,1000000,0.995,0.001282716716365353,big,0.4984855061224336,,0.02,4,COMPLETE
75,75,356.96095401499997,2022-02-01 10:25:29.948954,2022-02-01 13:56:09.260460,0 days 03:30:39.311506,128,1000000,0.995,0.004350538648888597,big,0.42650589419060936,,0.02,16,COMPLETE
76,76,411.05290071070004,2022-02-01 12:50:24.170798,2022-02-01 16:24:20.099885,0 days 03:33:55.929087,128,1000000,0.99,0.004194279871560517,big,0.3940836466502449,,0.02,16,COMPLETE
77,77,340.71690660859997,2022-02-01 13:56:09.261866,2022-02-01 15:22:00.934708,0 days 01:25:51.672842,128,1000000,0.99,0.013406413962042889,big,0.8737838144359148,,0.005,16,PRUNED
78,78,204.3626718091,2022-02-01 15:22:00.935794,2022-02-01 16:39:30.771767,0 days 01:17:29.835973,512,1000000,0.9999,0.006974126896266244,big,0.39267787514458086,,0.08,32,PRUNED
79,79,223.02402945350002,2022-02-01 16:24:20.101296,2022-02-01 17:40:22.335588,0 days 01:16:02.234292,512,1000000,0.99,0.006500134959947149,big,0.31546538913269406,,0.08,32,PRUNED
80,80,326.35967307209995,2022-02-01 16:39:30.772863,2022-02-01 20:13:57.520892,0 days 03:34:26.748029,128,1000000,0.99,0.004371476594552023,big,0.7137740421724112,,0.02,32,COMPLETE
81,81,348.31436739699996,2022-02-01 17:40:22.336555,2022-02-01 21:16:00.501920,0 days 03:35:38.165365,128,1000000,0.95,0.0038808142749720232,big,0.725341410779893,,0.02,32,COMPLETE
82,82,339.87068716090005,2022-02-01 20:13:57.522476,2022-02-01 21:40:44.918760,0 days 01:26:47.396284,128,1000000,0.99,0.002424733155442098,big,0.4380063197631418,,0.02,16,PRUNED
83,83,203.781042412,2022-02-01 21:16:00.503371,2022-02-01 22:20:16.139517,0 days 01:04:15.636146,128,1000000,0.99,0.0022706754799338585,big,0.43937459105212157,,0.02,16,PRUNED
84,84,343.38312951959995,2022-02-01 21:40:44.919716,2022-02-02 01:08:27.398426,0 days 03:27:42.478710,128,1000000,0.9999,0.0019497189858115385,big,0.4703194468860801,,0.02,16,COMPLETE
85,85,357.1872203309,2022-02-01 22:20:16.140454,2022-02-02 02:35:32.060988,0 days 04:15:15.920534,1024,1000000,0.9999,0.0008881728100312984,medium,0.4677149866815234,,0.02,16,COMPLETE
86,86,413.3927975695,2022-02-02 01:08:27.399830,2022-02-02 05:32:22.681280,0 days 04:23:55.281450,1024,1000000,0.995,0.0010164826391724235,medium,0.36111796630678095,,0.005,16,COMPLETE
87,87,204.6263817151,2022-02-02 02:35:32.062526,2022-02-02 03:31:57.801440,0 days 00:56:25.738914,64,1000000,0.995,0.6285179179942548,big,0.35770215891991153,,0.01,64,PRUNED
88,88,321.39781745600004,2022-02-02 03:31:57.802698,2022-02-02 04:30:18.723784,0 days 00:58:20.921086,128,1000000,0.995,0.0032679472438802985,big,0.5387849701509075,,0.005,16,PRUNED
89,89,356.597984531,2022-02-02 04:30:18.725210,2022-02-02 07:36:54.770116,0 days 03:06:36.044906,128,1000000,0.98,0.0014916684887399181,medium,0.4033764727213215,,0.02,32,COMPLETE
90,90,409.9548080318,2022-02-02 05:32:22.682801,2022-02-02 10:33:00.799079,0 days 05:00:38.116278,1024,1000000,0.98,0.0015794722577293933,big,0.6485861244956187,,0.005,32,COMPLETE
91,91,204.6216938209,2022-02-02 07:36:54.771435,2022-02-02 09:00:46.900746,0 days 01:23:52.129311,1024,10000,0.999,0.01783673418171067,big,0.32822996655016323,,0.005,256,PRUNED
92,92,357.3364135141,2022-02-02 09:00:46.901715,2022-02-02 13:19:02.652805,0 days 04:18:15.751090,1024,1000000,0.995,0.0008979643386827902,medium,0.21393560784858429,,0.005,16,COMPLETE
93,93,410.66999042289996,2022-02-02 10:33:00.800617,2022-02-02 15:03:51.481360,0 days 04:30:50.680743,1024,1000000,0.995,0.0008497379306411838,medium,0.22827134864164175,,0.005,16,COMPLETE
94,94,327.3360256209,2022-02-02 13:19:02.654210,2022-02-02 14:11:18.406443,0 days 00:52:15.752233,128,1000000,0.995,0.0005535501929105407,medium,0.3657244357313895,,0.005,16,PRUNED
95,95,323.5192783843,2022-02-02 14:11:18.407521,2022-02-02 15:27:18.280591,0 days 01:15:59.873070,128,1000000,0.995,0.0007810139582514077,medium,0.5032362335979972,,0.02,16,PRUNED
96,96,404.8553793947999,2022-02-02 15:03:51.482821,2022-02-02 18:20:51.220742,0 days 03:16:59.737921,128,1000000,0.995,0.0004283877847607929,medium,0.49688217246539823,,0.02,128,COMPLETE
97,97,323.1565546769,2022-02-02 15:27:18.281651,2022-02-02 16:56:34.519639,0 days 01:29:16.237988,512,1000000,0.9999,0.0010945457138157766,big,0.5609265706003608,,0.02,128,PRUNED
98,98,314.90536305980004,2022-02-02 16:56:34.520609,2022-02-02 18:22:30.936766,0 days 01:25:56.416157,128,1000000,0.995,0.00043866889974317544,medium,0.4845772115661321,,0.05,4,PRUNED
99,99,222.3991094425,2022-02-02 18:20:51.222464,2022-02-02 18:44:24.231697,0 days 00:23:33.009233,16,100000,0.995,0.00029535101373447337,big,0.9088050127361984,,0.05,4,PRUNED
