#{"t_start": 1643843965.0871706, "env_id": "happinize-v1"}
r,l,t
277.248585,48,78.407084
267.112749,47,78.610732
292.957109,49,78.87851
253.730314,47,79.026167
289.076983,50,79.287997
240.607617,42,79.429606
286.629904,50,79.698533
286.091093,52,79.843613
310.585614,56,80.114802
238.781892,45,80.376849
135.408225,25,80.38851
213.880269,37,80.588433
186.288541,35,80.842933
267.377471,49,80.98793
274.189351,48,81.256175
261.285966,48,81.402648
281.384711,48,81.666595
270.964017,50,81.809613
281.535845,48,82.075827
130.879762,22,82.086046
194.35356,32,82.223291
214.390883,37,82.478923
198.488732,34,82.671749
302.506727,55,82.817755
228.566114,43,83.077453
230.582523,43,83.219225
306.073736,53,83.482348
236.776172,42,83.623526
209.688158,37,83.76036
191.426449,32,83.895917
258.963479,45,84.158492
276.016406,51,84.302586
277.680403,49,84.568204
243.487921,43,84.763149
274.201299,49,85.032716
256.348749,45,85.178488
89.580926,14,85.185244
233.84227,44,85.447889
269.936153,49,85.59599
243.610159,42,85.856787
287.502108,50,86.001782
253.160402,45,86.263252
299.440552,52,86.40953
206.578744,37,86.549681
272.403285,49,86.867056
265.504128,47,87.011584
233.432136,42,87.272117
283.825271,51,87.416144
256.264497,46,87.678366
302.793487,51,87.824715
247.869093,42,88.095693
260.032044,45,88.23786
233.453251,40,88.378658
204.514922,37,88.530075
163.025122,28,88.67277
251.493884,46,88.999484
254.937075,47,89.144106
222.477434,39,89.283166
289.823008,51,89.550059
240.465079,44,89.692841
256.610696,46,89.985434
101.246419,17,89.993447
245.537099,44,90.263875
201.963541,35,90.409409
275.860987,47,90.552295
272.721597,49,90.8224
279.768054,48,91.037299
279.409692,46,91.322007
261.016885,48,91.47058
304.299163,54,91.743253
317.320776,53,92.062186
204.35224,36,92.235932
268.229911,47,92.390152
295.309144,55,92.660168
294.071864,50,92.806097
179.666203,32,92.945171
284.459677,51,93.359981
249.734356,44,93.50028
233.50604,41,93.762554
240.74564,43,93.904433
92.866942,17,94.039602
280.538034,51,94.20464
282.619641,49,94.468721
272.121769,49,94.62376
284.514925,51,94.902219
318.323348,57,95.244291
267.331417,48,95.402457
275.278747,49,95.677843
212.671435,38,95.821677
154.79931,25,95.962651
313.579009,56,96.117831
224.821355,38,96.429208
219.960216,40,96.5911
311.614931,57,96.891198
271.233754,49,97.064583
213.952301,39,97.208388
231.60841,37,97.450338
226.375303,41,97.730585
291.973576,52,97.88753
321.656145,57,98.171874
245.697265,41,98.314312
200.656281,37,98.587596
250.378533,42,98.732732
148.126011,27,98.867606
142.570961,26,99.002374
259.231931,46,99.174946
221.968152,41,99.313668
232.534996,44,99.634992
273.659694,49,99.779894
183.895256,34,99.919666
213.730139,40,100.196424
267.538568,46,100.346565
247.103572,46,100.489161
310.552135,58,100.757225
288.868503,49,101.021722
248.334517,43,101.164532
284.70374,50,101.441907
233.064031,40,101.621535
277.337327,48,101.765533
267.841582,49,102.039748
173.611568,31,102.17882
324.741583,56,102.447448
191.061002,33,102.583843
226.393604,40,102.722601
282.418203,50,102.866477
262.969524,47,103.138861
220.972752,41,103.291904
235.583755,41,103.595207
200.496045,35,103.766577
262.035993,45,103.918616
251.522651,43,104.064678
208.980641,38,104.326348
302.484879,55,104.476688
329.165669,56,104.744944
308.509416,55,105.019974
264.09281,45,105.160965
199.078923,34,105.297324
216.589009,38,105.43776
291.478402,50,105.741694
131.702546,22,105.887202
105.351765,20,105.896409
266.984047,48,106.169006
278.946256,48,106.314003
249.583479,45,106.575714
239.161569,44,106.717557
272.078738,48,106.980358
250.069838,45,107.120946
297.167918,52,107.383782
226.253377,43,107.524178
234.866189,38,107.661726
218.321323,39,107.833436
212.015448,35,108.000455
309.14281,54,108.268812
309.46235,57,108.538942
265.62177,50,108.688996
254.339511,46,108.958796
255.0647,46,109.103801
317.645791,56,109.36884
275.793522,49,109.636358
205.318561,36,109.774646
246.054833,44,109.937276
303.322016,57,110.235922
302.230511,53,110.501192
188.574634,32,110.639785
216.53593,40,110.778886
246.294338,44,110.921637
180.927169,30,111.060316
244.951835,43,111.204426
209.206427,37,111.464215
308.679366,56,111.61475
162.305915,28,111.750283
318.244072,54,112.068774
177.162952,29,112.217076
235.107791,40,112.359895
232.688883,44,112.504597
212.947794,40,112.770916
289.315218,53,112.916332
97.142427,17,113.046924
252.288132,47,113.188282
300.123542,53,113.456658
326.861625,56,113.723472
206.071492,36,113.86583
121.776621,22,114.003488
287.552195,52,114.202986
246.578471,45,114.472404
245.578694,43,114.617002
256.335079,45,114.765096
282.765481,50,115.041965
308.130787,54,115.309041
293.828039,51,115.451339
198.908917,35,115.589603
191.886968,36,115.727451
100.617572,18,115.857978
262.58591,48,116.003258
206.979784,36,116.323579
99.374222,17,116.331545
257.46414,47,116.594872
256.315522,45,116.738356
240.434238,41,116.88057
262.45224,43,117.142314
168.775451,29,117.277185
236.118821,41,117.417929
302.517621,53,117.563401
234.948121,44,117.82607
211.373431,37,117.966477
289.332165,50,118.240577
264.612595,48,118.446978
215.244454,37,118.594228
173.804059,32,118.739706
125.600445,23,118.880111
257.769584,46,119.029058
149.006053,25,119.163742
249.570032,42,119.304631
173.655494,29,119.441
251.664723,43,119.717126
207.473778,38,119.863375
310.340577,55,120.154697
287.244172,50,120.307516
269.510217,49,120.63556
339.043398,59,120.914056
307.175819,55,121.07206
123.691207,23,121.207057
266.395038,46,121.352966
261.943808,48,121.616862
107.815722,19,121.748911
267.239336,47,121.891003
291.534087,49,122.156575
261.617831,49,122.301794
147.953879,25,122.451836
315.889346,58,122.743868
130.431595,24,122.754686
211.759537,35,123.013363
302.996842,53,123.16228
286.44961,50,123.42872
193.174085,34,123.5663
195.584464,34,123.70469
280.969234,47,123.84961
299.471308,52,124.118922
149.743415,25,124.252349
272.87276,48,124.407417
306.259723,52,124.72692
190.050594,34,124.864164
260.780501,46,125.013783
244.088023,44,125.283892
261.122994,46,125.427142
299.076485,54,125.693172
316.757612,55,125.959656
138.845683,23,125.970731
252.875068,43,126.236463
173.751834,30,126.371439
302.601729,52,126.515857
303.671375,55,126.833771
269.956319,50,126.980678
205.997988,39,127.247277
104.848646,19,127.256094
273.453271,50,127.533854
232.119964,41,127.682983
219.408907,40,127.825721
300.92846,53,128.099713
292.259795,52,128.374973
137.769262,24,128.386737
173.507017,29,128.525319
301.546221,53,128.856473
120.175554,23,128.99367
255.096767,45,129.140492
199.231229,31,129.280033
299.198245,53,129.55413
284.273137,50,129.705139
240.023465,43,129.976946
223.145682,38,130.127975
294.799765,51,130.275935
263.041789,47,130.543871
309.476414,55,130.876304
285.265785,50,131.02584
250.220442,45,131.291752
214.735737,39,131.433297
231.033196,42,131.574372
159.195149,29,131.709945
116.724211,20,131.842834
309.266108,55,131.990908
221.086127,39,132.260217
289.338908,51,132.4121
170.652741,27,132.548534
242.613385,40,132.691215
183.301585,34,132.830545
341.147376,59,133.172372
163.632388,28,133.312747
198.528698,36,133.456486
285.761913,51,133.729633
297.590052,51,133.875775
242.380403,45,134.144114
218.027552,37,134.285076
324.139037,57,134.559123
240.008687,44,134.705741
237.748229,41,134.848189
234.643852,42,135.172379
248.988163,41,135.315091
287.935241,49,135.459632
264.693845,49,135.724169
256.67572,44,135.866192
268.980196,48,136.139016
149.460308,27,136.273492
279.268244,50,136.419211
281.631859,50,136.680714
211.507683,38,136.823073
221.991097,39,136.964406
281.224798,51,137.296917
257.830707,45,137.442066
283.622073,54,137.713023
150.647366,26,137.8502
290.895026,53,137.999413
151.837491,26,138.138646
225.669267,38,138.280483
218.589576,40,138.548644
186.971746,33,138.692105
288.322167,50,138.838631
210.746023,36,138.97857
182.834197,31,139.121558
189.207387,33,139.312238
271.280379,47,139.573865
264.342582,48,139.719232
247.995773,45,139.982368
257.971016,44,140.129292
223.642277,37,140.276014
267.472226,48,140.543211
256.910074,48,140.689926
270.529653,46,140.953397
293.262339,53,141.114379
115.729159,20,141.251269
260.984656,46,141.438065
256.142324,48,141.701948
299.06726,51,141.968025
292.52926,53,142.121593
272.724213,49,142.389153
232.81826,41,142.530219
314.036248,54,142.794988
133.977271,22,142.80495
191.426452,35,142.943312
312.416367,56,143.215106
308.22508,52,143.534127
298.967996,53,143.800514
287.262976,52,143.947762
322.623296,56,144.224697
248.481184,45,144.366639
271.805885,47,144.630611
307.738647,53,144.775744
208.993759,38,145.035958
254.168802,45,145.182173
225.582791,39,145.320214
106.725458,19,145.509668
217.174961,38,145.648298
217.035124,38,145.789005
164.579793,27,145.927747
216.543155,37,146.074125
305.136381,55,146.339113
281.481426,50,146.483108
224.166699,42,146.739297
291.301639,53,146.884746
212.535384,36,147.143495
285.067615,48,147.288418
241.601579,45,147.428273
272.715517,50,147.747531
260.735734,49,148.014064
86.060718,16,148.021608
316.683353,58,148.298475
283.892536,50,148.443628
189.99345,33,148.583227
269.499514,47,148.855865
305.054375,50,149.124943
272.517392,47,149.273666
277.470533,50,149.538039
208.557483,37,149.737153
316.492188,55,149.889639
184.499932,32,150.03112
190.660241,34,150.176675
139.487001,25,150.309552
278.093827,51,150.572895
284.174709,48,150.719361
245.439365,45,150.982272
209.386191,37,151.1256
266.631659,48,151.271858
242.647432,43,151.536672
269.717582,48,151.735991
265.398848,47,152.034057
274.515932,48,152.221622
197.66161,34,152.357593
274.002846,48,152.621374
260.413052,45,152.766005
219.335799,39,152.906877
239.804209,42,153.174496
281.85306,49,153.32376
208.099147,36,153.461607
263.040966,47,153.726685
289.537051,51,153.9178
258.679924,46,154.185994
188.600823,34,154.328369
283.40092,50,154.602413
172.655541,29,154.616065
242.591816,42,154.898059
215.682481,36,155.046523
